,acc,norm_edit_dis,fps,model,dataset,precision,recall,hmean
0,0.7363020538771403,0.8285564956072272,3873.510786831466,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_4,/home/dataset_labels/rec_08_02_90_k_fold_5_3/train_label.txt,,,
0,0.7230657459331161,0.8187564035538925,2733.687513009196,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_4,/home/dataset_labels/rec_08_02_90_k_fold_5_3/val_label.txt,,,
0,0.7367742402817183,0.8289053400856871,4121.494057096205,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_4,/home/dataset_labels/rec_08_02_90_k_fold_5_4/train_label.txt,,,
0,0.721976025628786,0.8203253000072284,3023.692411308851,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_4,/home/dataset_labels/rec_08_02_90_k_fold_5_4/val_label.txt,,,
0,0.7374500543520794,0.8286018508178694,3892.7584582882623,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_4,/home/dataset_labels/rec_08_02_90_k_fold_5_5/train_label.txt,,,
0,0.727919813532888,0.8228043460990843,2534.3838325179754,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_4,/home/dataset_labels/rec_08_02_90_k_fold_5_5/val_label.txt,,,
0,0.7594210266859014,0.8388379277558332,3861.992270562745,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_5,/home/dataset_labels/rec_08_02_90_k_fold_5_1/train_label.txt,,,
0,0.7525608421703154,0.8376552259914735,2941.321538144422,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_5,/home/dataset_labels/rec_08_02_90_k_fold_5_1/val_label.txt,,,
0,0.7530828322552198,0.8411885185932753,4401.811315461209,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_5,/home/dataset_labels/rec_08_02_90_k_fold_5_2/train_label.txt,,,
0,0.7433345435936546,0.8335467796520852,2702.5410177316207,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_5,/home/dataset_labels/rec_08_02_90_k_fold_5_2/val_label.txt,,,
0,0.7578410183321211,0.8405256411221349,4151.268561854129,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_5,/home/dataset_labels/rec_08_02_90_k_fold_5_3/train_label.txt,,,
0,0.737958590092293,0.8286414728705744,3224.514376402968,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_5,/home/dataset_labels/rec_08_02_90_k_fold_5_3/val_label.txt,,,
0,0.7573143488808611,0.8405849312993247,4045.980598259204,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_5,/home/dataset_labels/rec_08_02_90_k_fold_5_4/train_label.txt,,,
